R1,R2,R3,Rmax1,Rmax2,Rmax3,Rmax1-R1,Rmax2-R2,Rmax3-R3,(Rmax1-R1)/Rmax1,(Rmax2-R2)/Rmax2,(Rmax3-R3)/Rmax3,(Rmax1-R1)/Rmax1*100,(Rmax2-R2)/Rmax2*100,(Rmax3-R3)/Rmax3*100
244873.78100000002,367646.06200000003,361735.81299999997,439861.43799999997,546426.687,511025.469,194987.65699999995,178780.625,149289.65600000002,0.4432933650346498,0.3271813570847794,0.29213740812593436,44.32933650346498,32.71813570847794,29.213740812593436
258048.641,370687.56200000003,364493.56200000003,439861.43799999997,546426.687,511025.469,181812.79699999996,175739.125,146531.90699999995,0.41334106901182815,0.32161519409830724,0.286740908015291,41.334106901182814,32.161519409830724,28.6740908015291
250613.062,380342.031,376736.875,439861.43799999997,546426.687,511025.469,189248.37599999996,166084.65600000002,134288.59399999998,0.430245435609202,0.303946823885635,0.2627825854996671,43.0245435609202,30.3946823885635,26.27825854996671
251203.625,372364.281,364055.43700000003,439861.43799999997,546426.687,511025.469,188657.81299999997,174062.40600000002,146970.03199999995,0.4289028241661866,0.3185466781566619,0.287598252759492,42.89028241661866,31.854667815666186,28.759825275949204
248296.875,405003.906,369278.625,439861.43799999997,546426.687,511025.469,191564.56299999997,141422.78100000002,141746.84399999998,0.435511155219749,0.25881382510148154,0.27737725925358914,43.5511155219749,25.881382510148153,27.737725925358912
249752.734,384420.875,366739.969,439861.43799999997,546426.687,511025.469,190108.70399999997,162005.81200000003,144285.5,0.43220134246003167,0.2964822470319793,0.2823450273082182,43.22013424600317,29.64822470319793,28.23450273082182
246323.5,386511.875,380186.93700000003,439861.43799999997,546426.687,511025.469,193537.93799999997,159914.81200000003,130838.53199999995,0.439997511216248,0.29265556716851937,0.2560313329510392,43.999751121624804,29.265556716851936,25.60313329510392
247078.09399999998,406719.93799999997,369197.531,439861.43799999997,546426.687,511025.469,192783.34399999998,139706.74900000007,141827.93799999997,0.4382819846098898,0.2556733635522455,0.2775359480174949,43.82819846098898,25.56733635522455,27.753594801749493
243269.28100000002,394738.469,376871.219,439861.43799999997,546426.687,511025.469,196592.15699999995,151688.21800000005,134154.25,0.4469411046666927,0.2776003105426658,0.26251969449295687,44.694110466669265,27.76003105426658,26.251969449295686
248264.875,387792.719,372224.844,439861.43799999997,546426.687,511025.469,191596.56299999997,158633.96800000005,138800.625,0.4355839054025008,0.29031153084951733,0.2716119516931553,43.55839054025008,29.031153084951733,27.161195169315526
248186.391,380966.094,371634.18700000003,439861.43799999997,546426.687,511025.469,191675.04699999996,165460.59300000005,139391.28199999995,0.43576233431947264,0.3028047438685952,0.27276777862513923,43.576233431947266,30.280474386859517,27.276777862513924
244669.422,407896.43700000003,376254.281,439861.43799999997,546426.687,511025.469,195192.01599999997,138530.25,134771.18799999997,0.4437579636158057,0.2535202860617238,0.26372694939007035,44.37579636158057,25.35202860617238,26.372694939007037
250679.203,381954.68700000003,382339.469,439861.43799999997,546426.687,511025.469,189182.23499999996,164472.0,128686.0,0.43009506780178347,0.3009955478254304,0.2518191515029949,43.00950678017835,30.09955478254304,25.18191515029949
