resistance_ch1,time_ch1,conc,resistance_ch2,time_ch2,resistance_ch3,time_ch3,Label
82344.7109,52.483,4,45349.3906,52.78,300201.25,53.554,No3_4
83493.6094,53.88,4,46496.9414,54.176,288305.656,54.882,No3_4
82712.3125,55.221,4,46609.6641,55.551,294862.344,56.297,No3_4
82574.1484,56.622,4,45365.8984,56.919,291364.438,57.639,No3_4
82501.8594,57.964,4,44797.7852,58.26,288121.437,59.041,No3_4
83399.4375,59.366,4,44459.9258,59.662,295291.531,60.369,No3_4
84734.7187,60.708,4,45294.6641,61.038,287268.344,61.781,No3_4
83807.9062,62.106,4,44583.6836,62.402,290965.406,63.117,No3_4
82519.2656,63.442,4,44930.1445,63.738,292387.188,64.516,No3_4
82402.2031,64.841,4,45280.5508,65.137,290973.938,65.845,No3_4
82874.4766,66.183,4,46385.9375,66.513,292980.687,67.254,No3_4
82599.25,67.579,4,45340.332,67.876,296631.5,68.59,No3_4
83569.625,68.916,4,45504.3984,69.284,286795.656,70.002,No3_4
85625.6641,70.327,4,46636.0156,70.627,286063.781,71.417,No3_4
82833.5781,71.741,4,45115.5664,72.042,294099.156,72.751,No3_4
82723.4063,73.08,4,44654.543,73.38,295505.719,74.147,No3_4
85759.7656,74.509,4,44523.5977,74.838,284752.375,75.576,No3_4
83268.3281,75.9,4,45114.2031,76.2,294389.375,76.925,No3_4
85653.7734,77.249,4,46723.9219,77.607,284392.375,78.318,No3_4
84727.7422,78.642,4,46252.668,78.943,288123.563,79.732,No3_4
82503.1953,80.056,4,44594.5156,80.356,286026.813,81.072,No3_4
84019.7344,81.399,4,46388.9297,81.767,283382.406,82.476,No3_4
86176.9219,82.824,4,44645.7852,83.152,282770.719,83.893,No3_4
83489.8281,84.217,4,45313.5703,84.517,285058.094,85.256,No3_4
85748.0781,85.581,4,46653.0703,85.881,291171.969,86.705,No3_4
82995.8594,87.029,4,44683.8398,87.329,285102.187,88.048,No3_4
82809.5391,88.373,4,44561.6367,88.731,285901.344,89.455,No3_4
85770.5391,89.779,4,46483.5,90.079,287027.531,90.865,No3_4
82475.8203,91.189,4,44553.8594,91.49,287619.719,92.204,No3_4
83508.9141,92.532,4,46571.4453,92.9,280867.844,93.608,No3_4
85301.7344,93.955,4,45672.8164,94.283,281052.063,95.027,No3_4
83581.1484,95.351,4,45476.043,95.652,284445.406,96.391,No3_4
85919.5312,96.715,4,46612.9687,97.016,291798.594,97.837,No3_4
84272.2031,98.161,4,45625.7148,98.461,283103.594,99.183,No3_4
82845.9766,99.508,4,44653.7891,99.866,282986.219,100.582,No3_4
82593.8125,100.906,4,44751.4961,101.207,289937.969,101.997,No3_4
