resistance_ch1,time_ch1,conc,resistance_ch2,time_ch2,resistance_ch3,time_ch3,Label
25916.6875,73.072,3.5,95228.1562,73.39,66363.6094,73.694,No3_3.5
25519.834,73.993,3.5,93878.8281,74.333,67166.1172,74.663,No3_3.5
25299.7812,74.959,3.5,94792.1953,75.266,66773.9141,75.6,No3_3.5
25104.1406,75.931,3.5,92726.9062,76.229,66676.2969,76.544,No3_3.5
25077.8086,76.869,3.5,95248.9531,77.197,67170.4062,77.499,No3_3.5
25868.9453,77.799,3.5,94915.8125,78.133,65519.4844,78.463,No3_3.5
25071.5898,78.783,3.5,92659.2813,79.085,67197.0391,79.39,No3_3.5
25447.4004,79.726,3.5,94190.3828,80.055,65377.6875,80.357,No3_3.5
25427.1738,80.654,3.5,93867.8125,80.994,67372.7344,81.324,No3_3.5
25863.4238,81.628,3.5,93048.2422,81.932,67289.5078,82.261,No3_3.5
25121.2891,82.591,3.5,93096.4531,82.895,67275.1719,83.199,No3_3.5
25658.7773,83.516,3.5,95046.3359,83.856,67263.0781,84.176,No3_3.5
25001.6953,84.468,3.5,92820.9453,84.785,65038.2266,85.126,No3_3.5
26014.6465,85.455,3.5,94388.1875,85.757,65855.8906,86.059,No3_3.5
25880.7422,86.394,3.5,93555.0938,86.724,66727.2578,87.032,No3_3.5
25709.6621,87.332,3.5,93905.7188,87.662,66153.3672,87.992,No3_3.5
25182.2539,88.313,3.5,92731.9297,88.617,67230.1719,88.922,No3_3.5
25517.791,89.258,3.5,94355,89.586,65343.1992,89.888,No3_3.5
25372.0469,90.186,3.5,93404.2109,90.526,67076.4844,90.856,No3_3.5
25896.9238,91.178,3.5,94821.7656,91.477,65583.9453,91.782,No3_3.5
25109.082,92.122,3.5,94275.0391,92.45,65808.7656,92.747,No3_3.5
25868.9395,93.053,3.5,94925.0234,93.392,65094.3477,93.721,No3_3.5
25213.207,94.016,3.5,94324.0781,94.33,65810.5078,94.66,No3_3.5
25561.5723,94.991,3.5,93068.6875,95.311,66451.4609,95.608,No3_3.5
25727.9336,95.92,3.5,94504,96.259,65308.1992,96.589,No3_3.5
25967.166,96.881,3.5,93689.7187,97.195,65174.832,97.53,No3_3.5
25850.8438,97.86,3.5,92968.8125,98.163,64848.6016,98.467,No3_3.5
25917.2305,98.797,3.5,92611.8438,99.126,65709.0859,99.446,No3_3.5
25424.0566,99.738,3.5,93875.4844,100.056,66401.1875,100.396,No3_3.5
25835.8848,100.726,3.5,93919.9609,101.024,66392.4063,101.333,No3_3.5
25960.6699,101.669,3.5,92927.7734,101.998,67234.0313,102.306,No3_3.5
25937.8359,102.606,3.5,93420.8984,102.936,66591.7422,103.266,No3_3.5
25487.9785,103.587,3.5,94497.1016,103.883,65765.0547,104.192,No3_3.5
25444.4941,104.532,3.5,94578.5547,104.861,65389.4766,105.165,No3_3.5
26058.2012,105.476,3.5,94107.9062,105.8,66916.8594,106.13,No3_3.5
26049.7266,106.433,3.5,93655.3125,106.738,66940.6094,107.067,No3_3.5
25346.127,107.397,3.5,93365.9453,107.716,65339.3242,108.02,No3_3.5
25128.8867,108.319,3.5,93420.5547,108.658,67604.0469,108.987,No3_3.5
25593.7637,109.28,3.5,93897.5312,109.59,66090.25,109.929,No3_3.5
25725.6074,110.258,3.5,95404.6719,110.56,67190.6953,110.879,No3_3.5
25518.2754,111.194,3.5,94707.4531,111.522,66031.8437,111.823,No3_3.5
25468.457,112.122,3.5,95408.8203,112.456,65281.2695,112.784,No3_3.5
25083.1113,113.103,3.5,92407.5937,113.403,66257.5078,113.708,No3_3.5
25679.7363,114.047,3.5,93433.0234,114.364,65948.8906,114.664,No3_3.5
25904.2656,114.97,3.5,95264.3594,115.308,67716.1875,115.626,No3_3.5
25111.5449,115.917,3.5,92356.3594,116.235,65209.5508,116.574,No3_3.5
25051.834,116.893,3.5,91873.6953,117.193,65821.9844,117.508,No3_3.5
25378.4844,117.833,3.5,94663.9219,118.161,67200.7109,118.457,No3_3.5
25112.8613,118.767,3.5,94767.9375,119.095,65684.0625,119.423,No3_3.5
25167.0098,119.743,3.5,92854.8125,120.042,65368.6211,120.346,No3_3.5
25383.1621,120.679,3.5,93605.9063,120.996,65837.5,121.296,No3_3.5
25066.0625,121.6,3.5,92792.9375,121.939,64930.3281,122.257,No3_3.5
26037.2539,122.547,3.5,94730.125,122.865,67488.1328,123.205,No3_3.5
26011.998,123.523,3.5,94792.0703,123.823,66128.7578,124.127,No3_3.5
26088.3594,124.462,3.5,92425.1953,124.789,64617.4141,125.086,No3_3.5
25888.9883,125.396,3.5,93189.2891,125.724,65422.2969,126.053,No3_3.5
25968.6172,126.354,3.5,92571.0703,126.662,63929.9687,126.985,No3_3.5
26102.293,127.313,3.5,94657.4531,127.632,65787.6016,127.933,No3_3.5
25897.666,128.232,3.5,94574.2344,128.571,63777.8242,128.9,No3_3.5
25473.7676,129.193,3.5,92543.6563,129.502,64590.5586,129.841,No3_3.5
25724.1699,130.169,3.5,91804.9922,130.477,63208.7578,130.795,No3_3.5
25998.0938,131.104,3.5,91779.2031,131.432,63819.293,131.728,No3_3.5
25773.5566,132.038,3.5,92969.0469,132.365,64115.3203,132.694,No3_3.5
25590.7246,132.994,3.5,92604.0781,133.302,63390.3867,133.609,No3_3.5
25175.6152,133.948,3.5,91140.5234,134.266,63123.6641,134.566,No3_3.5
25844.3398,134.876,3.5,91564.8281,135.205,65236.7305,135.534,No3_3.5
25579.916,135.827,3.5,92066.4766,136.145,65559.9375,136.469,No3_3.5
25126.7324,136.797,3.5,91040.4609,137.098,65401.6719,137.405,No3_3.5
25927.4766,137.728,3.5,92176.8281,138.056,63339.4492,138.356,No3_3.5
25079.0684,138.655,3.5,93017.2578,138.988,64327.1016,139.317,No3_3.5
25566.1465,139.637,3.5,94358.1953,139.938,63724.1484,140.253,No3_3.5
25989.6191,140.578,3.5,92175.9844,140.908,65349.6602,141.216,No3_3.5
26007.5039,141.516,3.5,91395.5781,141.845,66031.75,142.176,No3_3.5
25650.9102,142.498,3.5,93072.1484,142.799,65170.1484,143.11,No3_3.5
25477.8379,143.446,3.5,92260.25,143.775,64563.7773,144.076,No3_3.5
25583.3418,144.374,3.5,92840.2109,144.714,64948.6016,145.045,No3_3.5
25930.5781,145.366,3.5,93115.2813,145.666,64532.8203,145.971,No3_3.5
25227.6328,146.312,3.5,93095.2734,146.641,64187.2773,146.938,No3_3.5
25901.3027,147.241,3.5,93487.3437,147.58,63950.7109,147.91,No3_3.5
25110.0898,148.212,3.5,92737.6719,148.516,64296.4883,148.845,No3_3.5
25884.2754,149.175,3.5,93513.8906,149.496,65848.3672,149.797,No3_3.5
25102.3438,150.103,3.5,91556.7656,150.443,65871.1406,150.773,No3_3.5
25378.6602,151.067,3.5,90810.9766,151.382,66065.0859,151.711,No3_3.5
25146.6328,152.042,3.5,91795.4609,152.362,63194.7187,152.659,No3_3.5
25875.5273,152.97,3.5,93189.7422,153.31,64367.5039,153.64,No3_3.5
25284.7695,153.938,3.5,93467.7187,154.245,65245.1563,154.58,No3_3.5
25287.3691,154.91,3.5,90521.8359,155.212,64428.8789,155.516,No3_3.5
25479.8555,155.846,3.5,92891.3281,156.176,65783.3516,156.478,No3_3.5
25933.2227,156.779,3.5,93410.2344,157.114,63528.0859,157.444,No3_3.5
25083.5957,157.765,3.5,91469.5859,158.062,65596.8437,158.372,No3_3.5
26047.7969,158.712,3.5,91624.2187,159.041,63443.3047,159.342,No3_3.5
25078.707,159.64,3.5,91547.5234,159.98,66154,160.309,No3_3.5
25579.8105,160.603,3.5,91396.4141,160.918,65652.1172,161.249,No3_3.5
25418.084,161.579,3.5,92520.3516,161.899,64649.9141,162.199,No3_3.5
25974.1855,162.505,3.5,94056.0469,162.845,63949.3359,163.174,No3_3.5
25252.6328,163.473,3.5,91597.8516,163.788,64509.0156,164.113,No3_3.5
25821.5859,164.442,3.5,92142.9063,164.744,63457.625,165.048,No3_3.5
26024.8398,165.378,3.5,91954.25,165.708,65090.7461,166.03,No3_3.5
25173.6992,166.322,3.5,93315.8125,166.637,65262.0078,166.977,No3_3.5
25606.8633,167.307,3.5,92057.9219,167.605,63735.8672,167.92,No3_3.5
25558.0059,168.244,3.5,92951.7812,168.574,63637.3633,168.876,No3_3.5
25213.5996,169.177,3.5,92927.3203,169.511,64572.1094,169.841,No3_3.5
25721.0527,170.161,3.5,92111.8125,170.46,64732.6523,170.77,No3_3.5
26061.1523,171.105,3.5,91089.1484,171.434,63507.0312,171.733,No3_3.5
25986.2188,172.043,3.5,91061.6641,172.372,66158.9453,172.7,No3_3.5
26130.3301,173,3.5,90687.8359,173.309,65299.3828,173.615,No3_3.5
25657.2266,173.953,3.5,92046.7734,174.271,64675.7813,174.571,No3_3.5
25482.0313,174.87,3.5,91891.5703,175.208,65900.9609,175.537,No3_3.5
26017.6504,175.832,3.5,91766.9687,176.14,65036.5781,176.478,No3_3.5
25513.4395,176.806,3.5,90767.8281,177.103,63827.8437,177.422,No3_3.5
25185.373,177.741,3.5,93348.3828,178.068,65966.0391,178.37,No3_3.5
26110.418,178.668,3.5,92023.4453,179.001,65942.7188,179.329,No3_3.5
25724.4707,179.63,3.5,91362.8047,179.939,65924.3672,180.246,No3_3.5
26084.4531,180.586,3.5,93094.4375,180.905,65689.0625,181.204,No3_3.5
25236.3867,181.51,3.5,91736.7422,181.848,64913.2148,182.166,No3_3.5
25868.0215,182.457,3.5,92513.1094,182.776,65364.9648,183.115,No3_3.5
25622.3672,183.433,3.5,92356.5859,183.734,64537.3711,184.043,No3_3.5
25776.9668,184.372,3.5,92003.1953,184.701,65727.2812,184.997,No3_3.5
25274.9648,185.307,3.5,92998.0313,185.635,63715.0898,185.964,No3_3.5
25247.0566,186.284,3.5,91156.4219,186.585,65402.1836,186.888,No3_3.5
25286.875,187.223,3.5,93207.1406,187.551,65849.4219,187.848,No3_3.5
25209.2813,188.157,3.5,92809.9375,188.486,64628.0703,188.814,No3_3.5
25212.9629,189.115,3.5,91972.7188,189.423,66092.9688,189.747,No3_3.5
25140.0195,190.076,3.5,90596.6094,190.377,66260.6406,190.684,No3_3.5
25433.9941,190.997,3.5,91096.5781,191.336,64470.4336,191.656,No3_3.5
25703.9004,191.946,3.5,93012.0625,192.26,66376.8672,192.599,No3_3.5
25238.7402,192.928,3.5,90208.1641,193.231,63663.6055,193.55,No3_3.5
25755.752,193.863,3.5,90602.1406,194.19,64813.168,194.493,No3_3.5
25454.0977,194.791,3.5,90767.6875,195.124,65644.7187,195.453,No3_3.5
26043.5879,195.773,3.5,92847.4297,196.075,65032.7461,196.379,No3_3.5
26078.8867,196.713,3.5,92134.4219,197.03,65650.8203,197.335,No3_3.5
25970.9863,197.635,3.5,93113.75,197.973,65963.7109,198.291,No3_3.5
25091.5156,198.581,3.5,90434.5625,198.899,64183.8828,199.238,No3_3.5
25336.5,199.557,3.5,90713.3672,199.856,63576.5391,200.159,No3_3.5
25676.6074,200.493,3.5,92271.5,200.81,63870.3555,201.116,No3_3.5
25149.6758,201.416,3.5,90394.0703,201.754,65904.4375,202.083,No3_3.5
25125.2734,202.376,3.5,92450.3672,202.685,66345.7891,203.024,No3_3.5
25194.2871,203.353,3.5,89819.4141,203.655,63285.332,203.973,No3_3.5
25697.9102,204.287,3.5,90858.0938,204.616,65553.6328,204.919,No3_3.5
25733.9941,205.217,3.5,90221.1953,205.552,65612.8125,205.881,No3_3.5
25779.2383,206.203,3.5,92309.8203,206.499,64063.5742,206.812,No3_3.5
25523.1367,207.152,3.5,91572.3594,207.481,63510.0547,207.785,No3_3.5
26141.9277,208.096,3.5,91049.7031,208.421,65015.3125,208.751,No3_3.5
26060.791,209.072,3.5,90607.6875,209.369,63983.1172,209.68,No3_3.5
25360.3926,210.02,3.5,91396.9141,210.349,65585.1484,210.652,No3_3.5
25167.5762,210.963,3.5,91317.875,211.287,64150.3398,211.617,No3_3.5
25195.2031,211.939,3.5,89556.3906,212.238,64105.8594,212.543,No3_3.5
25561.8379,212.883,3.5,90858.2891,213.212,65193.8711,213.509,No3_3.5
25598.1328,213.812,3.5,90570.4531,214.152,64785.8594,214.482,No3_3.5
26056.498,214.786,3.5,89907.0391,215.09,64587.4258,215.408,No3_3.5
25636.6133,215.749,3.5,89542.9219,216.07,63939.8906,216.369,No3_3.5
25218.5469,216.674,3.5,89661.3203,217.013,65399.1445,217.342,No3_3.5
25632.5078,217.636,3.5,89087.8594,217.95,65421.0898,218.281,No3_3.5
25257.3809,218.611,3.5,89963.875,218.932,62985.5703,219.228,No3_3.5
25737.3945,219.541,3.5,90648.9141,219.881,64331.8359,220.201,No3_3.5
25885.7285,220.493,3.5,89119.2891,220.823,65553.1719,221.154,No3_3.5
25988.5938,221.476,3.5,91022.7422,221.773,62963.8125,222.083,No3_3.5
25174.9023,222.423,3.5,92075.6484,222.752,65109.3437,223.053,No3_3.5
26017.8359,223.35,3.5,92280.7031,223.69,63326.2969,224.019,No3_3.5
25720.9902,224.313,3.5,90761.7813,224.633,64675.6641,224.945,No3_3.5
26091.1484,225.286,3.5,91970.8438,225.607,65051.7031,225.904,No3_3.5
25282.5703,226.214,3.5,90246.2578,226.552,64387.8164,226.87,No3_3.5
25886.5996,227.162,3.5,89838.2344,227.478,64527.0078,227.819,No3_3.5
25626.2969,228.149,3.5,90748.5391,228.446,65351.25,228.761,No3_3.5
25636.2344,229.087,3.5,90758.3359,229.417,65328.6992,229.72,No3_3.5
26121.6738,230.02,3.5,90503.1406,230.345,64109.4609,230.685,No3_3.5
25489.2207,231.005,3.5,89220.6875,231.306,65219.2773,231.616,No3_3.5
25690.5098,231.952,3.5,90625.9922,232.281,62697.4961,232.585,No3_3.5
26017.3516,232.896,3.5,90138.0859,233.221,64818.5469,233.551,No3_3.5
26044.7852,233.872,3.5,91704.9219,234.172,64039.8242,234.477,No3_3.5
25718.4277,234.816,3.5,90836.2188,235.146,62941.6211,235.443,No3_3.5
26023.3867,235.748,3.5,92118.625,236.088,62981.6406,236.418,No3_3.5
25699.8477,236.712,3.5,92104.3203,237.027,62864.2383,237.357,No3_3.5
26145.3242,237.687,3.5,91975.9141,238.007,63292.2266,238.312,No3_3.5
25310.4609,238.612,3.5,90973.0156,238.949,64279.4297,239.267,No3_3.5
25580.5938,239.558,3.5,89971.5547,239.876,63500.5352,240.215,No3_3.5
25252.9355,240.533,3.5,89687.0547,240.834,62956.9375,241.149,No3_3.5
25456.5918,241.473,3.5,91480.2656,241.8,64238.9961,242.102,No3_3.5
25823.6309,242.401,3.5,90901.6406,242.733,63905.3828,243.062,No3_3.5
25641.5996,243.381,3.5,89204.0547,243.684,64994.3867,243.993,No3_3.5
25326.2637,244.322,3.5,91149.3438,244.65,64831.2344,244.956,No3_3.5
25743.8516,245.257,3.5,90260.9141,245.586,65025.1289,245.914,No3_3.5
25761.9102,246.207,3.5,90479.9688,246.526,65318.4492,246.849,No3_3.5
25414.8145,247.177,3.5,89458.3203,247.478,64963.9336,247.786,No3_3.5
25207.1426,248.099,3.5,89864.8437,248.437,62930.3672,248.757,No3_3.5
26080.1113,249.048,3.5,92245.3828,249.367,65415.1445,249.706,No3_3.5
26244.3906,250.024,3.5,92011.0391,250.324,64283.4648,250.628,No3_3.5
26156.1367,250.962,3.5,91299.1016,251.279,64500.3203,251.579,No3_3.5
26075.7422,251.883,3.5,92212.4609,252.22,65120.9609,252.538,No3_3.5
25253.7168,252.829,3.5,89695.4687,253.148,63069.5469,253.487,No3_3.5
25378.1504,253.806,3.5,89327.3125,254.105,62638.4805,254.409,No3_3.5
25763.584,254.742,3.5,90478.8281,255.071,64286.0664,255.379,No3_3.5
25314.1836,255.688,3.5,89286.8828,256.006,65129.2461,256.334,No3_3.5
26187.9219,256.654,3.5,91134.9141,256.956,63469.2539,257.259,No3_3.5
26220.7207,257.593,3.5,88877.9531,257.922,64893.082,258.229,No3_3.5
25270.1523,258.539,3.5,89877.9609,258.857,64293.7305,259.186,No3_3.5
26118.5918,259.488,3.5,89391.5781,259.796,63056.3086,260.12,No3_3.5
26158.4805,260.449,3.5,91671.6953,260.768,64776.4922,261.069,No3_3.5
25447.5859,261.373,3.5,91962.1406,261.706,63002.6328,262.034,No3_3.5
26062.7734,262.326,3.5,91661.125,262.644,64351.7383,262.968,No3_3.5
25456.2129,263.296,3.5,89772.7734,263.616,63585.5313,263.917,No3_3.5
25530.0371,264.216,3.5,89962.0391,264.554,64912.8242,264.883,No3_3.5
25972.5898,265.177,3.5,90298.8906,265.485,64164.1914,265.824,No3_3.5
25581.9141,266.153,3.5,89128,266.45,62668.6875,266.769,No3_3.5
25311.7793,267.089,3.5,91708.3281,267.417,64564.2656,267.718,No3_3.5
26087.918,268.017,3.5,90731.8984,268.351,64046.5703,268.679,No3_3.5
25657.0586,268.999,3.5,89472.125,269.3,64767.8672,269.614,No3_3.5
25666.9961,269.938,3.5,89905.4922,270.266,64500.9297,270.574,No3_3.5
26044.5195,270.873,3.5,89061.3984,271.202,64773.8125,271.532,No3_3.5
25876.6465,271.853,3.5,91248.3516,272.149,63072.0117,272.461,No3_3.5
25574.9727,272.801,3.5,89491.3984,273.12,62750.7148,273.418,No3_3.5
26109.1797,273.724,3.5,91304.3047,274.063,63487.7227,274.392,No3_3.5
26111.875,274.686,3.5,90404.8906,275.001,63719.8711,275.33,No3_3.5
25966.625,275.66,3.5,91271.5234,275.98,64732.1836,276.279,No3_3.5
25928.6055,276.585,3.5,90784.3203,276.925,63906.293,277.255,No3_3.5
25306.5547,277.549,3.5,91443.3906,277.859,65211.0938,278.198,No3_3.5
