R1,R2,R3
3170.36719,2458.87305,4040.86865
3171.79541,2449.83936,4039.35596
3183.00439,2450.22656,4035.96118
3176.19043,2452.43091,4027.43701
3171.80469,2450.49292,4026.54199
3180.28198,2453.98657,4028.25171
3170.69824,2450.36792,4039.5957
3172.51147,2455.66016,4039.38696
3184.32422,2452.45532,4039.08398
3176.52563,2451.77344,4036.23267
3177.22314,2450.36255,4040.11035
3178.71753,2455.36377,4035.04785
3179.92749,2454.06714,4030.89722
3180.70972,2451.14282,4035.83008
3184.04492,2450.03101,4026.52393
3184.39014,2451.79272,4038.47534
3184.35474,2453.29834,4042.50171
3185.60693,2461.33447,4040.69775
3176.17114,2454.08301,4033.23267
3176.40625,2456.55469,4034.60669
3178.93384,2454.09546,4026.82422
3182.90112,2451.11621,4032.97876
3176.72314,2450.91895,4041.79443
3184.85522,2461.43286,4025.27661
3179.68457,2458.97461,4033.10596
3178.68188,2456.9873,4031.31299
3175.21313,2452.81274,4027.25684
3184.71436,2457.04297,4027.4541
3180.39209,2458.4436,4035.83252
3179.354,2451.19922,4025.94336
3186.77002,2455.6333,4028.22656
3182.47192,2455.17798,4032.01294
3176.89307,2461.43555,4028.64233
3176.00244,2461.34814,4027.271
3173.03564,2451.99561,4026.2417
3173.8103,2452.1311,4043.93213
3177.54907,2461.21924,4042.05347
3173.37549,2451.78052,4041.78735
3179.65698,2456.18457,4042.0791
3180.42944,2451.59033,4043.08838
3185.49902,2461.79077,4031.73413
3186.48779,2463.13135,4042.39355
3187.38525,2461.89795,4032.44336
3186.75806,2452.54517,4031.52734
3181.78076,2462.94629,4035.72437
3174.57886,2460.36719,4028.82837
3177.37964,2452.15039,4041.75659
3187.58252,2454.53394,4027.82056
3186.71362,2456.00513,4030.10815
3174.28296,2462.29077,4044.01392
3183.04663,2452.66479,4040.29077
3179.13599,2460.54858,4045.46045
3178.948,2462.32617,4033.72314
3176.34058,2457.38623,4041.8269
3179.63843,2455.05786,4039.92407
3182.30762,2456.39429,4033.28198
3182.70386,2459.88086,4038.27808
3187.18774,2459.17773,4041.78735
3187.37109,2458.94946,4031.01685
3189.78809,2454.73828,4029.94165
3187.67407,2462.63794,4029.90381
3174.92407,2463.01123,4036.22754
3184.12256,2461.771,4043.82642
3187.99561,2462.91016,4037.96387
3182.79517,2459.19214,4044.42554
3189.56714,2463.04687,4029.33105
3187.14307,2458.99658,4033.08008
3181.25879,2462.87769,4037.73096
3182.42871,2454.05493,4042.12305
3189.12817,2463.50317,4046.81152
3188.55664,2459.3938,4035.26196
3187.30664,2457.76318,4043.67163
3187.91577,2463.6189,4039.24634
3183.97656,2453.09814,4030.88867
3186.25269,2459.51074,4034.53906
3183.479,2462.59375,4036.45532
3179.15186,2464.82812,4031.07861
3177.72144,2454.50757,4032.46265
3185.70557,2463.66699,4043.47412
3180.41333,2460.24927,4045.79053
3184.97437,2456.47876,4035.25928
3186.31885,2463.06592,4045.29395
3188.49634,2457.00732,4039.46191
3184.07764,2457.3335,4046.69678
3176.0957,2454.15356,4045.67676
3188.84668,2453.52808,4042.39868
3185.29883,2461.89258,4045.83521
3190.16382,2465.65552,4031.73853
3190.83813,2454.81616,4033.5874
3187.02319,2458.22681,4035.55029
3179.08887,2464.17236,4042.92188
3189.6543,2461.1228,4039.84668
3184.30884,2459.51147,4037.38721
3186.0603,2455.43604,4032.65479
3189.93604,2455.80347,4042.59497
3187.37891,2457.5249,4042.31104
3189.17261,2464.77344,4046.86646
3183.05811,2466.11401,4032.96997
3189.71973,2466.19116,4041.59985
3183.40576,2462.69702,4041.79004
3177.32666,2465.47803,4048.82031
3177.25488,2455.0791,4031.26221
3190.41748,2457.03027,4045.87036
3188.30347,2458.31982,4031.57935
3178.48706,2462.41406,4036.86865
3186.51123,2456.78735,4047.36572
3190.46948,2458.09253,4041.21826
3185.08569,2461.93579,4039.66846
3188.81763,2460.88403,4049.7876
3191.65112,2465.11499,4042.1272
3185.45703,2461.521,4039.60449
3186.52808,2458.39258,4035.51831
3191.27026,2458.61963,4051.05664
3183.53491,2465.78809,4046.50439
3193.05078,2458.47314,4048.15771
3191.36987,2466.97412,4041.74219
3187.8252,2465.43091,4048.80566
3187.11108,2464.37964,4050.82544
3180.09937,2456.58911,4037.3501
3184.69775,2460.17871,4034.26147
3187.63184,2457.04102,4049.9519
3184.31372,2461.01782,4039.73364
3184.69824,2465.87769,4038.9729
3180.43481,2457.92896,4051.71362
3180.81689,2457.0188,4035.83276
3180.09009,2462.69141,4038.81348
3180.99902,2462.7373,4052.17578
3183.73804,2457.48047,4041.93408
3183.13159,2457.12402,4036.11157
3191.96094,2463.9895,4041.99146
3181.51245,2457.33887,4041.58594
3180.34058,2461.68115,4034.97998
3180.60449,2458.69189,4042.11401
3187.00781,2459.26953,4036.32153
3193.11182,2467.07764,4044.8877
3182.04736,2468.15845,4050.3623
3179.38745,2459.39673,4050.00244
3188.46704,2456.45703,4042.85449
3188.70898,2463.31641,4036.40186
3184.53784,2464.43652,4048.42822
3181.16699,2458.52588,4037.04346
3192.29199,2457.69263,4042.21997
3183.427,2468.20654,4052.14917
3181.27075,2464.38721,4045.32056
3188.59229,2461.27954,4050.44385
3186.21533,2460.15576,4038.91968
3184.8186,2459.87817,4037.38965
3192.61255,2467.87231,4051.85718
3182.16309,2461.65991,4051.78979
3190.75342,2461.24951,4036.81226
3193.46167,2464.5918,4042.25537
3192.86987,2462.56372,4035.84961
3194.92041,2457.68555,4046.08887
3188.34277,2463.86816,4044.87866
3189.95508,2467.86499,4052.35522
3192.86694,2468.3811,4043.52368
3193.58154,2457.66431,4038.07227
3183.89429,2458.95557,4052.40796
3194.75586,2458.97534,4051.8064
3194.04419,2468.10278,4043.96582
3186.18188,2461.46191,4045.64087
3186.57446,2469.8833,4046.71289
3189.65845,2460.95532,4045.8562
3187.50708,2462.4939,4043.29517
3192.74292,2462.77344,4044.86694
3186.53735,2468.18237,4051.15259
3195.13916,2459.43018,4039.10254
3194.33667,2462.84302,4046.86963
3193.89038,2463.26685,4053.75122
3194.86865,2468.83154,4053.1228
3194.40234,2468.1145,4053.37915
3183.62988,2459.27637,4040.61328
3193.71777,2469.96118,4055.59058
3189.24976,2464.92432,4039.52393
3186.4585,2468.70142,4039.83398
3184.2395,2468.87061,4037.95679
3182.30273,2458.70728,4039.99561
3184.0022,2459.99976,4040.16187
3194.88037,2468.62231,4054.54224
3184.82007,2459.354,4038.1582
3191.51465,2460.29126,4045.40259
3184.37622,2465.28198,4042.86572
3185.26025,2462.2644,4053.88696
3184.62988,2470.71362,4053.89136
3184.052,2460.53076,4055.86011
3195.57349,2459.98828,4055.14819
3197.56543,2470.82129,4054.10522
3193.72729,2470.57251,4054.41528
3186.19019,2462.68726,4045.198
3191.25391,2466.26416,4045.48682
3185.42456,2467.98364,4054.70679
3195.98291,2459.76855,4054.23486
3185.70142,2463.50342,4039.4209
3196.56665,2469.59106,4046.62988
3196.48926,2467.65161,4047.41211
3195.80347,2466.17163,4053.40625
3196.25903,2469.41064,4039.84766
3196.93164,2464.19263,4042.70313
3196.35425,2471.104,4040.45264
3186.42285,2466.79102,4043.03882
3193.12671,2464.50244,4042.09009
3191.01636,2468.03784,4048.06445
3196.80981,2465.94727,4049.06909
3188.72217,2471.12134,4041.65161
3193.25952,2469.78931,4052.25464
3191.65991,2468.32471,4053.37524
3186.3938,2461.46265,4043.80566
3192.4541,2467.47363,4041.19116
3187.83838,2463.92944,4040.72144
3187.20166,2464.94409,4049.10742
3189.3252,2460.79736,4041.72729
3189.76831,2464.85474,4041.66382
3194.8147,2471.38892,4050.40137
3196.2312,2470.08301,4054.16675
3186.04688,2463.77295,4044.12256
3190.72583,2461.33301,4046.7229
3186.77954,2462.06592,4041.85059
3192.90723,2462.09863,4055.9502
3188.58521,2464.80981,4053.75586
3190.02295,2462.88452,4045.36719
3188.18848,2462.42188,4041.96362
3198.95605,2469.07153,4054.1123
3192.8252,2463.93481,4043.17822
3197.98828,2462.56226,4057.42969
3200.73779,2461.97461,4058.95923
3200.69556,2470.21533,4043.55444
3197.65845,2462.73901,4051.0415
3194.104,2461.50684,4058.89111
3199.13403,2472.66919,4048.66333
3192.09326,2467.69336,4050.35352
3193.36084,2466.61304,4051.67603
3194.93652,2462.14722,4043.47583
3201.30737,2472.229,4043.45703
3199.43994,2464.54761,4042.00293
3187.93799,2470.26074,4047.64771
3192.97339,2468.35864,4059.91455
3193.64722,2468.5293,4043.40356
3199.49634,2472.25708,4043.4812
3190.2251,2465.19873,4058.49976
3200.59082,2472.63037,4057.86133
3200.69165,2473.7666,4058.05127
3188.66138,2462.65649,4044.75415
3187.97705,2466.76025,4059.94727
3193.375,2468.83203,4044.66577
3200.88818,2471.46924,4044.84863
3194.09595,2471.99072,4049.89404
3194.89429,2468.99048,4058.9873
3200.64917,2472.81006,4043.95605
3200.77393,2466.09277,4043.80103
3195.30542,2470.47437,4053.59326
3198.8252,2466.97607,4049.00586
3189.83325,2469.46362,4046.35352
3189.89917,2462.81812,4058.62231
3189.93457,2470.14697,4058.91113
3194.42334,2462.93799,4057.90332
3192.71802,2470.5415,4060.72925
3193.84937,2472.63721,4048.69336
3189.76001,2469.31982,4053.41748
3197.6145,2466.93799,4054.2561
3196.7417,2465.99634,4051.30347
3195.67432,2469.60181,4050.95825
3191.49561,2467.35376,4047.22046
3190.04028,2463.68506,4053.88672
3189.87109,2473.65625,4052.30811
3201.39185,2464.0415,4061.15942
3203.49976,2465.62744,4060.09082
3199.38599,2473.87061,4052.57861
3201.60327,2470.39673,4056.23608
3197.20215,2469.7439,4055.99634
3200.87256,2473.83032,4051.18359
3196.37207,2467.92456,4052.85376
3200.33936,2464.51562,4062.62061
3190.9812,2468.17676,4048.44678
3204.24341,2465.63989,4061.82446
3202.8623,2472.48389,4050.04199
3197.47144,2469.3042,4056.17285
3200.10693,2473.7312,4049.6499
3196.20752,2467.60791,4049.64282
3202.64478,2466.24658,4053.46118
3194.64453,2470.17871,4051.95044
3197.13916,2468.74854,4053.40039
3192.32568,2473.38013,4061.44775
3201.47974,2464.76172,4060.06665
3200.52344,2476.16284,4055.5481
3205.44604,2465.02881,4046.19702
3193.50146,2467.45288,4058.18359
3202.61865,2471.84717,4061.5
3198.76172,2470.6687,4053.26221
3194.10376,2472.09888,4053.42603
3198.39648,2465.44507,4061.51831
3204.84106,2465.78516,4055.34082
3200.09741,2465.86719,4064.08203
3207.02441,2476.46582,4056.19385
3200.81641,2472.10181,4056.79028
3199.14624,2470.92334,4054.60986
3200.11279,2475.50781,4058.1897
3200.79858,2466.1709,3995.97998
3198.69849,2455.94751,3935.90991
3196.27905,2434.23291,3951.65259
3199.98828,2471.44897,3999.25684
3192.13086,2462.83936,4019.85742
3192.70361,2468.63843,4035.28174
3190.0354,2461.87134,4025.61426
3197.03857,2462.53638,4033.10986
3191.58838,2461.96216,4023.60376
3177.69092,2465.89917,4029.74414
3186.74634,2464.42896,4022.83813
3190.28369,2464.57593,4025.68066
3177.41626,2459.52319,4018.93652
3189.27661,2467.96973,4033.3916
3187.4729,2468.77173,4026.99097
3187.44385,2457.10474,4018.08862
3184.83643,2458.37476,4035.35181
3180.29565,2455.32764,3996.52759
3178.4292,2457.28491,4004.28345
3183.82715,2458.09375,3993.8562
3181.14868,2456.36621,3997.58521
3180.85596,2459.28613,4004.06274
3179.25635,2456.81274,3997.31396
3178.11011,2453.52466,3994.36133
3176.53369,2458.18872,3996.34644
3172.20947,2460.08228,4001.53564
3179.95996,2451.95654,4000.62476
3179.95044,2458.98242,3992.04419
3175.5481,2453.40137,3987.65137
3172.32593,2448.95532,3993.24146
3174.75562,2448.42847,3987.00098
3180.82886,2453.44336,3986.77759
3177.34302,2453.92969,3988.07202
3174.44019,2458.81836,3988.47095
3170.55737,2448.87524,4005.91895
3163.98267,2446.32446,3989.4082
3164.36792,2449.40918,3995.1416
3166.05762,2446.83423,3987.28638
3171.60791,2451.14697,3984.07983
3168.79395,2450.57788,3986.79663
3167.3125,2453.80884,3985.52197
3162.9834,2452.49634,3992.80566
3168.42847,2449.37305,3991.45972
3165.35669,2445.98462,3993.00854
3165.52808,2450.44531,3994.62231
3167.25562,2444.33252,3984.46533
3171.28638,2443.26855,3982.64722
3162.25439,2451.677,3983.80664
3161.88086,2452.85229,3987.77246
3164.68994,2446.00464,3995.39282
3162.39258,2443.0874,3982.78906
3170.21631,2451.72949,3994.6604
3168.2876,2448.56714,3994.0332
3170.59912,2442.35181,3989.33569
3166.69019,2447.28638,3985.0835
3164.84888,2450.11987,3982.17993
3164.42212,2448.17505,3983.5188
3164.22485,2450.54443,3992.0061
3170.4895,2449.35181,3982.03198
3164.00635,2443.78491,3992.30493
3168.47119,2446.26245,3978.44824
3164.0415,2447.04761,3983.67285
3170.18311,2444.19653,3985.23853
3170.63477,2450.17358,3991.20776
3168.99512,2451.35034,3977.97388
3168.55811,2446.97437,3976.58081
3173.64331,2449.27881,3975.60107
3171.18433,2442.60352,3974.50415
3165.42017,2447.07129,3980.89551
3170.19092,2449.13599,3988.09033
3173.10181,2448.46777,3986.91553
3171.40942,2426.42578,3965.16479
3151.69922,2381.48071,3918.83667
3129.74414,2375.41357,3882.03809
3112.93018,2368.6626,3878.40894
3098.16016,2360.2417,3867.69067
3095.54565,2354.83057,3850.16626
3091.14941,2363.81519,3875.29541
3084.41968,2352.80811,3866.00781
3124.56079,2344.36011,3858.21533
3121.19409,2354.46362,3843.42383
3100.75122,2357.0498,3841.85229
3080.61328,2356.1582,3839.27148
3074.64673,2351.38184,3821.74585
3071.22681,2350.39917,3829.21997
3068.41138,2347.54517,3829.24805
3065.23706,2344.24731,3832.48535
3062.77979,2342.95215,3823.74902
3063.46338,2345.88208,3833.89209
3061.05127,2345.63721,3827.89844
3057.60376,2336.13843,3834.22461
3058.86182,2345.00586,3834.83105
3057.73437,2339.55371,3846.47241
3061.32983,2335.84668,3847.13184
3068.53882,2338.1001,3849.20801
3064.29468,2350.45166,3852.8064
3057.35864,2343.0896,3848.74878
3065.33569,2345.79565,3846.21045
3061.61108,2342.92993,3842.82788
3058.95142,2346.11987,3857.96606
3059.88867,2348.40503,3857.55713
3066.75928,2343.99878,3848.0564
3070.09937,2346.93921,3851.1499
3059.88135,2357.20654,3855.37109
3058.65527,2355.78296,3866.65039
3062.20166,2356.74438,3855.02612
3063.08252,2354.59521,3862.16162
3066.08447,2360.68359,3879.43213
3069.32422,2358.78516,3861.77393
3065.91846,2354.68237,3878.73438
3056.69727,2352.63184,3878.91479
3066.03247,2355.11768,3872.88281
3063.56104,2356.1145,3868.85718
3063.64575,2359.9585,3874.85425
3062.05908,2365.33887,3888.32373
3067.16797,2364.04736,3870.646
3064.35425,2356.7644,3885.74194
3055.5083,2358.36401,3884.86719
3063.57373,2359.93213,3879.41943
3061.49316,2360.68604,3874.83179
3064.18701,2368.50269,3881.10474
3063.05371,2362.11694,3884.75244
3061.01514,2366.34497,3888.8042
3055.23877,2368.98755,3891.34814
3063.12622,2360.84277,3893.375
3063.104,2367.3689,3876.54126
3057.31738,2359.96265,3876.63721
3064.23853,2371.52075,3878.77222
3062.62964,2367.03149,3894.74048
3055.91016,2359.56763,3884.42529
3058.65308,2367.18335,3879.26978
3061.50342,2364.34351,3890.12622
3059.76489,2359.99731,3884.13477
3054.56421,2371.37085,3890.82397
3053.62378,2371.61523,3880.79614
3051.41821,2370.18481,3878.40186
3054.9729,2361.6604,3880.51538
3054.46777,2365.81982,3891.68481
3053.91504,2360.91113,3890.53662
3056.09741,2365.60669,3888.88159
3054.30029,2364.9812,3884.9126
3055.79053,2370.99048,3893.38306
3054.76367,2370.16772,3887.2793
3052.40259,2371.84131,3887.22021
3056.95483,2373.7439,3879.29248
3051.94653,2361.18091,3889.323
3063.17236,2368.19189,3887.75732
3056.83618,2370.38599,3886.14746
3057.86108,2364.17749,3886.27417
3059.53101,2360.83569,3886.56055
3061.77002,2362.75952,3878.62183
3048.83179,2364.77661,3893.43384
3059.53101,2370.5127,3883.18066
3052.75195,2361.73926,3876.5144
3054.53491,2370.66235,3880.39282
3053.75464,2360.66284,3883.25391
3058.91309,2370.90063,3876.73975
3057.57202,2371.9502,3892.28979
3060.95947,2369.91382,3894.93481
3049.05737,2360.0957,3874.9895
3054.79468,2362.1311,3881.44727
3048.14746,2363.30078,3888.55762
3055.9292,2364.59741,3891.61865
3059.37012,2370.10229,3884.44092
3058.21851,2372.12964,3890.41406
3045.84424,2366.0835,3886.07324
3050.45068,2368.95703,3881.81958
3047.91602,2368.3667,3874.2019
3046.80249,2360.50952,3889.35669
3054.53809,2359.1394,3887.32983
3056.76489,2367.58154,3881.14258
3055.39087,2370.67505,3876.09692
3054.19263,2358.35913,3874.2561
3055.75391,2369.20898,3883.75269
3046.22754,2369.38354,3884.30713
3054.41309,2363.52075,3885.69922
3051.51294,2364.31714,3869.45068
3054.06763,2369.25146,3882.24902
3051.88354,2370.2749,3871.30786
3052.42627,2358.2937,3871.68164
3053.90088,2357.14258,3882.00537
3052.89307,2370.21265,3880.802
3041.1355,2368.02808,3869.21265
3042.93701,2361.04028,3879.86182
3045.47876,2368.58594,3872.78833
3042.52271,2362.36328,3875.93433
3043.85352,2359.32739,3879.61548
3042.13745,2356.90137,3862.60986
3038.94043,2357.96094,3876.17187
3038.95947,2362.09668,3870.03271
3047.36499,2354.25317,3858.8042
3049.84058,2356.36401,3856.84204
3037.56104,2365.66602,3857.78491
3038.50854,2354.21655,3867.23267
3042.46484,2355.50854,3855.64038
3047.36621,2365.03345,3856.80322
3036.56567,2363.10962,3872.15137
3037.09204,2356.06445,3852.37012
3037.30859,2365.07275,3865.17432
3044.48218,2363.71973,3853.6106
3034.97607,2363.34399,3850.35352
3037.74048,2353.63721,3848.91992
3033.84155,2353.6709,3867.84668
3033.47876,2357.11646,3854.95068
3042.19214,2359.82129,3855.62207
3039.3208,2360.88452,3852.56372
3038.99268,2364.06982,3847.38428
3034.82861,2351.87354,3844.99219
3038.6123,2358.11743,3847.21899
3036.3291,2362.79663,3845.68286
3036.43481,2354.22729,3859.11548
3043.76709,2351.49316,3846.95825
3031.22705,2353.95996,3857.36914
3029.64355,2355.18066,3852.61938
3037.37402,2349.69116,3843.47266
3039.7417,2354.06006,3848.7085
3033.79419,2358.70605,3855.23657
3035.43872,2359.51318,3852.76758
3036.20728,2356.88965,3851.76147
3031.61255,2356.96729,3845.81396
3036.39746,2358.49976,3846.75659
3042.37524,2349.80176,3847.17285
3031.30127,2350.40088,3853.29346
3031.50195,2347.7251,3855.34814
3029.68579,2357.83691,3833.71411
3037.2583,2360.02637,3850.823
3027.41162,2352.90747,3839.71729
3038.15112,2357.50195,3847.37573
3033.82764,2355.68433,3845.0459
3035.26392,2355.74194,3843.19385
3033.09375,2353.64526,3835.375
3030.22681,2351.67773,3830.51709
3027.36377,2350.46924,3843.14893
3030.32202,2350.32129,3837.01831
3037.10815,2353.59814,3843.51538
3035.11401,2352.00537,3833.44556
3030.5415,2358.33447,3835.65942
3028.20898,2348.22363,3826.16992
3033.99658,2354.47705,3836.04004
3031.13599,2356.71948,3830.84644
3032.45386,2346.33228,3829.71191
3036.56909,2354.88037,3840.17529
3028.16577,2356.75342,3826.60034
3028.02979,2350.89038,3840.5481
3028.78394,2345.84839,3834.26416
3030.77148,2348.14575,3827.05347
